"Date","Followers","Follower_Change","Num_Tweets"
2016-11-23,15818014,115602,9
2016-11-22,15702412,74654,3
2016-11-21,15627758,98384,4
2016-11-20,15529374,91395,2
2016-11-19,15437979,57334,5
2016-11-18,15380645,68275,3
2016-11-17,15312370,113547,4
2016-11-16,15198823,101305,3
2016-11-15,15097518,115721,0
2016-11-14,14981797,185335,8
2016-11-13,14796462,137945,1
2016-11-12,14658517,295199,3
2016-11-11,14363318,268224,3
2016-11-10,14095094,801107,0
2016-11-09,13293987,275155,12
2016-11-08,13018832,40876,17
2016-11-07,12977956,24553,10
2016-11-06,12953403,25392,11
2016-11-05,12928011,20629,13
2016-11-04,12907382,21813,9
2016-11-03,12885569,23418,14
2016-11-02,12862151,20985,16
2016-11-01,12841166,18022,6
2016-10-31,12823144,20858,9
2016-10-30,12802286,18579,8
2016-10-29,12783707,21123,12
2016-10-28,12762584,18053,20
2016-10-27,12744531,19960,5
2016-10-26,12724571,18927,17
2016-10-25,12705644,19003,18
2016-10-24,12686641,19045,10
2016-10-23,12667596,20004,16
2016-10-22,12647592,19080,16
2016-10-21,12628512,31689,15
2016-10-20,12596823,37173,87
2016-10-19,12559650,20029,10
2016-10-18,12539621,26724,26
2016-10-17,12512897,30825,16
2016-10-16,12482072,21539,14
2016-10-15,12460533,18992,5
2016-10-14,12441541,28818,12
2016-10-13,12412723,34229,6
2016-10-12,12378494,59015,18
2016-10-11,12319479,48613,7
2016-10-10,12270866,74865,68
2016-10-09,12196001,37652,5
2016-10-08,12158349,20586,0
2016-10-07,12137763,16014,10
2016-10-06,12121749,19561,16
2016-10-05,12102188,69690,56
2016-10-04,12032498,21315,5
2016-10-03,12011183,28226,6
2016-10-02,11982957,27946,5
2016-10-01,11955011,46582,12
2016-09-30,11908429,20710,5
2016-09-29,11887719,24071,11
2016-09-28,11863648,55099,23
2016-09-27,11808549,79208,34
2016-09-26,11729341,17916,6
2016-09-25,11711425,16525,6
2016-09-24,11694900,15962,6
2016-09-23,11678938,16591,4
2016-09-22,11662347,17013,9
2016-09-21,11645334,21141,8
2016-09-20,11624193,19573,7
2016-09-19,11604620,20927,7
2016-09-18,11583693,21006,4
2016-09-17,11562687,20161,7
2016-09-16,11542526,19881,12
2016-09-15,11522645,18218,11
2016-09-14,11504427,25429,13
2016-09-13,11478998,20296,6
2016-09-12,11458702,23390,1
2016-09-11,11435312,19792,10
2016-09-10,11415520,19279,9
2016-09-09,11396241,14759,15
2016-09-08,11381482,20498,5
2016-09-07,11360984,16742,13
2016-09-06,11344242,20827,6
2016-09-05,11323415,20978,14
2016-09-04,11302437,15189,5
2016-09-03,11287248,22447,4
2016-09-02,11264801,26988,5
2016-09-01,11237813,18073,10
2016-08-31,11219740,17589,8
2016-08-30,11202151,17637,13
2016-08-29,11184514,17572,6
2016-08-28,11166942,16997,10
2016-08-27,11149945,14575,15
2016-08-26,11135370,16396,12
2016-08-25,11118974,16295,10
2016-08-24,11102679,20072,8
2016-08-23,11082607,20007,8
